id,tipo_produto,quantidade,fim_jornada
1001,PRODUTO,420,2024-12-31 07:00:00
1002,PRODUTO,120,2024-12-31 07:00:00
1003,PRODUTO,20,2024-12-31 07:00:00
1004,PRODUTO,20,2024-12-31 07:00:00
1005,PRODUTO,15,2024-12-31 07:00:00
1055,PRODUTO,15,2024-12-31 08:00:00
1069,PRODUTO,10,2024-12-31 08:00:00
1070,PRODUTO,12,2024-12-31 08:00:00
1071,PRODUTO,12,2024-12-31 08:00:00
1072,PRODUTO,10,2024-12-31 08:00:00
1059,PRODUTO,10,2024-12-31 08:00:00
1073,PRODUTO,10,2024-12-31 08:00:00
1074,PRODUTO,5,2024-12-31 08:00:00
