1 | 72 | 10029 | pao_hamburguer | Atividade 10029 | Embaladora 1 | 17:50 [06/08] | 18:00 [06/08] 
1 | 72 | 10028 | pao_hamburguer | Atividade 10028 | Armário Fermentador 3 | 17:50 [05/08] | 17:50 [06/08] 
1 | 72 | 10027 | pao_hamburguer | Atividade 10027 | Armário Fermentador 3 | 17:47 [05/08] | 17:50 [05/08] 
1 | 72 | 10026 | pao_hamburguer | Atividade 10026 | Forno 1 | 17:27 [05/08] | 17:47 [05/08] 
1 | 72 | 10024 | pao_hamburguer | Atividade 10024 | Armário Fermentador 1 | 14:53 [05/08] | 17:23 [05/08] 
1 | 72 | 10023 | pao_hamburguer | Atividade 10023 | Bancada 1 | 14:50 [05/08] | 14:53 [05/08] 
1 | 72 | 10021 | pao_hamburguer | Atividade 10021 | Bancada 1 | 14:39 [05/08] | 14:42 [05/08] 
1 | 72 | 10021 | pao_hamburguer | Atividade 10021 | Balança Digital 1 | 14:36 [05/08] | 14:39 [05/08] 
1 | 72 | 20021 | massa_suave | Atividade 20021 | Masseira 1 | 14:29 [05/08] | 14:36 [05/08] 
1 | 72 | 10029 | pao_hamburguer | Atividade 10029 | Embaladora 1 | 17:50 [06/08] | 18:00 [06/08] 
1 | 72 | 10028 | pao_hamburguer | Atividade 10028 | Armário Fermentador 3 | 17:50 [05/08] | 17:50 [06/08] 
1 | 72 | 10027 | pao_hamburguer | Atividade 10027 | Armário Fermentador 3 | 17:47 [05/08] | 17:50 [05/08] 
1 | 72 | 10026 | pao_hamburguer | Atividade 10026 | Forno 1 | 17:27 [05/08] | 17:47 [05/08] 
1 | 72 | 10024 | pao_hamburguer | Atividade 10024 | Armário Fermentador 1 | 14:53 [05/08] | 17:23 [05/08] 
1 | 72 | 10023 | pao_hamburguer | Atividade 10023 | Bancada 1 | 14:50 [05/08] | 14:53 [05/08] 
1 | 72 | 10022 | pao_hamburguer | Atividade 10022 | Bancada 1 | 14:42 [05/08] | 14:46 [05/08] 
1 | 72 | 10022 | pao_hamburguer | Atividade 10022 | Divisoras de Massas 2 | 14:38 [05/08] | 14:42 [05/08] 
1 | 72 | 10021 | pao_hamburguer | Atividade 10021 | Bancada 1 | 14:35 [05/08] | 14:38 [05/08] 
1 | 72 | 10021 | pao_hamburguer | Atividade 10021 | Balança Digital 1 | 14:32 [05/08] | 14:35 [05/08] 
1 | 72 | 20021 | massa_suave | Atividade 20021 | Masseira 2 | 14:25 [05/08] | 14:32 [05/08] 
