1 | 1 | 10057 | pao_tranca_de_queijo_finos | retirada_de_paes_tranca_de_queijo_finos_da_coccao | Funcionário 3 | 17:57 [29/06] | 18:00 [29/06] 
1 | 1 | 10055 | pao_tranca_de_queijo_finos | preparo_de_paes_tranca_de_queijo_finos_para_coccao | Funcionário 3 | 17:33 [29/06] | 17:37 [29/06] 
1 | 1 | 10053 | pao_tranca_de_queijo_finos | preparo_de_pao_tranca_de_queijo_finos_para_fermentacao | Funcionário 3 | 16:00 [29/06] | 16:03 [29/06] 
1 | 1 | 10052 | pao_tranca_de_queijo_finos | modelagem_e_recheio_de_paes_tranca_de_queijo_finos | Funcionário 3 | 15:50 [29/06] | 16:00 [29/06] 
1 | 1 | 10052 | pao_tranca_de_queijo_finos | modelagem_e_recheio_de_paes_tranca_de_queijo_finos | Funcionário 14 | 15:50 [29/06] | 16:00 [29/06] 
1 | 1 | 10052 | pao_tranca_de_queijo_finos | modelagem_e_recheio_de_paes_tranca_de_queijo_finos | Funcionário 1 | 15:50 [29/06] | 16:00 [29/06] 
1 | 1 | 10051 | pao_tranca_de_queijo_finos | pesagem_e_divisao_de_massas_para_pao_tranca_de_queijo_finos | Funcionário 3 | 15:44 [29/06] | 15:50 [29/06] 
1 | 1 | 10051 | pao_tranca_de_queijo_finos | pesagem_e_divisao_de_massas_para_pao_tranca_de_queijo_finos | Funcionário 14 | 15:44 [29/06] | 15:50 [29/06] 
1 | 1 | 20021 | massa_suave | mistura_de_massas_suaves | Funcionário 3 | 15:37 [29/06] | 15:44 [29/06] 
1 | 1 | 20021 | massa_suave | mistura_de_massas_suaves | Funcionário 14 | 15:37 [29/06] | 15:44 [29/06] 
1 | 1 | 20101 | creme_de_queijo | preparo_para_coccao_de_creme_de_queijo | Funcionário 8 | 15:29 [29/06] | 15:37 [29/06] 
1 | 1 | 20102 | creme_de_queijo | coccao_de_creme_de_queijo | Funcionário 8 | 15:14 [29/06] | 15:29 [29/06] 
1 | 1 | 20103 | creme_de_queijo | preparo_para_armazenamento_de_creme_de_queijo | Funcionário 8 | 14:54 [29/06] | 15:14 [29/06] 
1 | 1 | 20104 | creme_de_queijo | armazenamento_sob_temperatura_para_creme_de_queijo | Funcionário 16 | 14:44 [29/06] | 14:54 [29/06] 
