[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🛠️ 20 atividades de armazenamento criadas.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 1 | Quantidade: 5000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 2 | Quantidade: 8000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 3 | Quantidade: 10000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 4 | Quantidade: 12000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 5 | Quantidade: 15000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 6 | Quantidade: 18000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 7 | Quantidade: 20000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 8 | Quantidade: 22000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 9 | Quantidade: 25000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 10 | Quantidade: 28000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 11 | Quantidade: 3000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 12 | Quantidade: 4000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 13 | Quantidade: 6000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 14 | Quantidade: 9000g.
[2025-05-31 18:27:36] [SimulacaoArmazenamentoGanacheChocolate] [INFO] 🚀 Tentando alocar atividade 15 | Quantidade: 11000g.
