[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🛠️ 10 atividades de cocção criadas.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 1 com 30000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 2 com 50000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 3 com 34000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 4 com 60000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 5 com 20000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 6 com 10000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 7 com 40000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 8 com 45000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 9 com 25000g.
[2025-05-24 21:08:06] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 10 com 35000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🛠️ 10 atividades de cocção criadas.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 1 com 30000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 2 com 50000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 3 com 34000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 4 com 60000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 5 com 20000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 6 com 10000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 7 com 40000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 8 com 45000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 9 com 25000g.
[2025-05-26 12:39:10] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 10 com 35000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🛠️ 10 atividades de cocção criadas.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 1 com 30000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 2 com 50000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 3 com 34000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 4 com 60000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 5 com 20000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 6 com 10000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 7 com 40000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 8 com 45000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 9 com 25000g.
[2025-05-26 14:27:50] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 10 com 35000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🛠️ 10 atividades de cocção criadas.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 1 com 30000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 2 com 50000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 3 com 34000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 4 com 60000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 5 com 20000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 6 com 10000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 7 com 40000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 8 com 45000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 9 com 25000g.
[2025-05-27 08:47:02] [SimulacaoCoccaoCarneDeSol] [INFO] 🚀 Tentando alocar atividade 10 com 35000g.
